gene_symbol,pathway,level,n_genes
Aurkaip1,Mitochondrial ribosome,level_2,83
Chchd1,Mitochondrial ribosome,level_2,83
Dap3,Mitochondrial ribosome,level_2,83
Gadd45gip1,Mitochondrial ribosome,level_2,83
Mrpl1,Mitochondrial ribosome,level_2,83
Mrpl10,Mitochondrial ribosome,level_2,83
Mrpl11,Mitochondrial ribosome,level_2,83
Mrpl12,Mitochondrial ribosome,level_2,83
Mrpl13,Mitochondrial ribosome,level_2,83
Mrpl14,Mitochondrial ribosome,level_2,83
Mrpl15,Mitochondrial ribosome,level_2,83
Mrpl16,Mitochondrial ribosome,level_2,83
Mrpl17,Mitochondrial ribosome,level_2,83
Mrpl18,Mitochondrial ribosome,level_2,83
Mrpl19,Mitochondrial ribosome,level_2,83
Mrpl2,Mitochondrial ribosome,level_2,83
Mrpl20,Mitochondrial ribosome,level_2,83
Mrpl21,Mitochondrial ribosome,level_2,83
Mrpl22,Mitochondrial ribosome,level_2,83
Mrpl23,Mitochondrial ribosome,level_2,83
Mrpl24,Mitochondrial ribosome,level_2,83
Mrpl27,Mitochondrial ribosome,level_2,83
Mrpl28,Mitochondrial ribosome,level_2,83
Mrpl3,Mitochondrial ribosome,level_2,83
Mrpl30,Mitochondrial ribosome,level_2,83
Mrpl32,Mitochondrial ribosome,level_2,83
Mrpl33,Mitochondrial ribosome,level_2,83
Mrpl34,Mitochondrial ribosome,level_2,83
Mrpl35,Mitochondrial ribosome,level_2,83
Mrpl36,Mitochondrial ribosome,level_2,83
Mrpl37,Mitochondrial ribosome,level_2,83
Mrpl38,Mitochondrial ribosome,level_2,83
Mrpl39,Mitochondrial ribosome,level_2,83
Mrpl4,Mitochondrial ribosome,level_2,83
Mrpl40,Mitochondrial ribosome,level_2,83
Mrpl41,Mitochondrial ribosome,level_2,83
Mrpl42,Mitochondrial ribosome,level_2,83
Mrpl43,Mitochondrial ribosome,level_2,83
Mrpl44,Mitochondrial ribosome,level_2,83
Mrpl45,Mitochondrial ribosome,level_2,83
Mrpl46,Mitochondrial ribosome,level_2,83
Mrpl47,Mitochondrial ribosome,level_2,83
Mrpl48,Mitochondrial ribosome,level_2,83
Mrpl49,Mitochondrial ribosome,level_2,83
Mrpl50,Mitochondrial ribosome,level_2,83
Mrpl51,Mitochondrial ribosome,level_2,83
Mrpl52,Mitochondrial ribosome,level_2,83
Mrpl53,Mitochondrial ribosome,level_2,83
Mrpl54,Mitochondrial ribosome,level_2,83
Mrpl55,Mitochondrial ribosome,level_2,83
Mrpl57,Mitochondrial ribosome,level_2,83
Mrpl58,Mitochondrial ribosome,level_2,83
Mrpl9,Mitochondrial ribosome,level_2,83
Mrps10,Mitochondrial ribosome,level_2,83
Mrps11,Mitochondrial ribosome,level_2,83
Mrps12,Mitochondrial ribosome,level_2,83
Mrps14,Mitochondrial ribosome,level_2,83
Mrps15,Mitochondrial ribosome,level_2,83
Mrps16,Mitochondrial ribosome,level_2,83
Mrps17,Mitochondrial ribosome,level_2,83
Mrps18a,Mitochondrial ribosome,level_2,83
Mrps18b,Mitochondrial ribosome,level_2,83
Mrps18c,Mitochondrial ribosome,level_2,83
Mrps2,Mitochondrial ribosome,level_2,83
Mrps21,Mitochondrial ribosome,level_2,83
Mrps22,Mitochondrial ribosome,level_2,83
Mrps23,Mitochondrial ribosome,level_2,83
Mrps24,Mitochondrial ribosome,level_2,83
Mrps25,Mitochondrial ribosome,level_2,83
Mrps26,Mitochondrial ribosome,level_2,83
Mrps27,Mitochondrial ribosome,level_2,83
Mrps28,Mitochondrial ribosome,level_2,83
Mrps30,Mitochondrial ribosome,level_2,83
Mrps31,Mitochondrial ribosome,level_2,83
Mrps33,Mitochondrial ribosome,level_2,83
Mrps34,Mitochondrial ribosome,level_2,83
Mrps35,Mitochondrial ribosome,level_2,83
Mrps36,Mitochondrial ribosome,level_2,83
Mrps5,Mitochondrial ribosome,level_2,83
Mrps6,Mitochondrial ribosome,level_2,83
Mrps7,Mitochondrial ribosome,level_2,83
Mrps9,Mitochondrial ribosome,level_2,83
Ptcd3,Mitochondrial ribosome,level_2,83
