gene_symbol,pathway,level,n_genes
Kmo,NAD biosynthesis and metabolism,level_2,13
Kyat3,NAD biosynthesis and metabolism,level_2,13
Nadk2,NAD biosynthesis and metabolism,level_2,13
Naxd,NAD biosynthesis and metabolism,level_2,13
Naxe,NAD biosynthesis and metabolism,level_2,13
Nmnat3,NAD biosynthesis and metabolism,level_2,13
Nnt,NAD biosynthesis and metabolism,level_2,13
Noct,NAD biosynthesis and metabolism,level_2,13
Nudt13,NAD biosynthesis and metabolism,level_2,13
Sirt3,NAD biosynthesis and metabolism,level_2,13
Sirt4,NAD biosynthesis and metabolism,level_2,13
Sirt5,NAD biosynthesis and metabolism,level_2,13
Slc25a51,NAD biosynthesis and metabolism,level_2,13
