gene_symbol,pathway,level,n_genes
Ak2,Nucleotide synthesis and processing,level_2,23
Ak3,Nucleotide synthesis and processing,level_2,23
Ak4,Nucleotide synthesis and processing,level_2,23
Cmpk2,Nucleotide synthesis and processing,level_2,23
Dguok,Nucleotide synthesis and processing,level_2,23
Dhodh,Nucleotide synthesis and processing,level_2,23
Dut,Nucleotide synthesis and processing,level_2,23
Fhit,Nucleotide synthesis and processing,level_2,23
Guk1,Nucleotide synthesis and processing,level_2,23
Hint1,Nucleotide synthesis and processing,level_2,23
Nme3,Nucleotide synthesis and processing,level_2,23
Nme4,Nucleotide synthesis and processing,level_2,23
Nme6,Nucleotide synthesis and processing,level_2,23
Nt5dc2,Nucleotide synthesis and processing,level_2,23
Nt5m,Nucleotide synthesis and processing,level_2,23
Nudt2,Nucleotide synthesis and processing,level_2,23
Nudt5,Nucleotide synthesis and processing,level_2,23
Nudt9,Nucleotide synthesis and processing,level_2,23
Paics,Nucleotide synthesis and processing,level_2,23
Sucla2,Nucleotide synthesis and processing,level_2,23
Suclg1,Nucleotide synthesis and processing,level_2,23
Suclg2,Nucleotide synthesis and processing,level_2,23
Tk2,Nucleotide synthesis and processing,level_2,23
