gene_symbol,pathway,level,n_genes
Acp6,Phospholipid metabolism,level_2,24
Agk,Phospholipid metabolism,level_2,24
Agpat4,Phospholipid metabolism,level_2,24
Agpat5,Phospholipid metabolism,level_2,24
Akr1b7,Phospholipid metabolism,level_2,24
Chpt1,Phospholipid metabolism,level_2,24
Gpam,Phospholipid metabolism,level_2,24
Gpat2,Phospholipid metabolism,level_2,24
Lactb,Phospholipid metabolism,level_2,24
Osbpl1a,Phospholipid metabolism,level_2,24
Pgs1,Phospholipid metabolism,level_2,24
Pisd,Phospholipid metabolism,level_2,24
Pnpla8,Phospholipid metabolism,level_2,24
Prdx6,Phospholipid metabolism,level_2,24
Prelid1,Phospholipid metabolism,level_2,24
Prelid3a,Phospholipid metabolism,level_2,24
Prelid3b,Phospholipid metabolism,level_2,24
Ptpmt1,Phospholipid metabolism,level_2,24
Serac1,Phospholipid metabolism,level_2,24
Sphk2,Phospholipid metabolism,level_2,24
Sptlc2,Phospholipid metabolism,level_2,24
Stard7,Phospholipid metabolism,level_2,24
Tamm41,Phospholipid metabolism,level_2,24
Triap1,Phospholipid metabolism,level_2,24
