gene_symbol,pathway,level,n_genes
Elac2,Polycistronic mtRNA processing,level_2,13
Fastk,Polycistronic mtRNA processing,level_2,13
Fastkd1,Polycistronic mtRNA processing,level_2,13
Fastkd2,Polycistronic mtRNA processing,level_2,13
Fastkd3,Polycistronic mtRNA processing,level_2,13
Fastkd5,Polycistronic mtRNA processing,level_2,13
Grsf1,Polycistronic mtRNA processing,level_2,13
Hsd17b10,Polycistronic mtRNA processing,level_2,13
Prorp,Polycistronic mtRNA processing,level_2,13
Ptcd2,Polycistronic mtRNA processing,level_2,13
Tbrg4,Polycistronic mtRNA processing,level_2,13
Trmt10c,Polycistronic mtRNA processing,level_2,13
Ybey,Polycistronic mtRNA processing,level_2,13
