gene_symbol,pathway,level,n_genes
Afg1l,Proteases,level_2,29
Afg3l1,Proteases,level_2,29
Afg3l2,Proteases,level_2,29
Atad1,Proteases,level_2,29
Atp23,Proteases,level_2,29
Casp3,Proteases,level_2,29
Casp9,Proteases,level_2,29
Clpb,Proteases,level_2,29
Clpp,Proteases,level_2,29
Clpx,Proteases,level_2,29
Htra2,Proteases,level_2,29
Ide,Proteases,level_2,29
Immp1l,Proteases,level_2,29
Immp2l,Proteases,level_2,29
Lactb,Proteases,level_2,29
Lap3,Proteases,level_2,29
Lonp1,Proteases,level_2,29
Metap1d,Proteases,level_2,29
Mipep,Proteases,level_2,29
Nln,Proteases,level_2,29
Oma1,Proteases,level_2,29
Parl,Proteases,level_2,29
Pitrm1,Proteases,level_2,29
Pmpca,Proteases,level_2,29
Pmpcb,Proteases,level_2,29
Spg7,Proteases,level_2,29
Usp30,Proteases,level_2,29
Xpnpep3,Proteases,level_2,29
Yme1l1,Proteases,level_2,29
