gene_symbol,pathway,level,n_genes
Dlat,Pyruvate metabolism,level_2,16
Dld,Pyruvate metabolism,level_2,16
Gm4984,Pyruvate metabolism,level_2,16
Mpc1,Pyruvate metabolism,level_2,16
Mpc2,Pyruvate metabolism,level_2,16
Pdha1,Pyruvate metabolism,level_2,16
Pdha2,Pyruvate metabolism,level_2,16
Pdhb,Pyruvate metabolism,level_2,16
Pdhx,Pyruvate metabolism,level_2,16
Pdk1,Pyruvate metabolism,level_2,16
Pdk2,Pyruvate metabolism,level_2,16
Pdk3,Pyruvate metabolism,level_2,16
Pdk4,Pyruvate metabolism,level_2,16
Pdp1,Pyruvate metabolism,level_2,16
Pdp2,Pyruvate metabolism,level_2,16
Pdpr,Pyruvate metabolism,level_2,16
