gene_symbol,pathway,level,n_genes
Chdh,"Q-linked reactions, other",level_2,11
Dhodh,"Q-linked reactions, other",level_2,11
Etfa,"Q-linked reactions, other",level_2,11
Etfb,"Q-linked reactions, other",level_2,11
Etfbkmt,"Q-linked reactions, other",level_2,11
Etfdh,"Q-linked reactions, other",level_2,11
Etfrf1,"Q-linked reactions, other",level_2,11
Gpd2,"Q-linked reactions, other",level_2,11
Prodh,"Q-linked reactions, other",level_2,11
Prodh2,"Q-linked reactions, other",level_2,11
Sqor,"Q-linked reactions, other",level_2,11
