gene_symbol,pathway,level,n_genes
Aifm2,ROS and glutathione metabolism,level_2,27
Aldh3a2,ROS and glutathione metabolism,level_2,27
Aldh7a1,ROS and glutathione metabolism,level_2,27
Aldh9a1,ROS and glutathione metabolism,level_2,27
Cat,ROS and glutathione metabolism,level_2,27
Glrx2,ROS and glutathione metabolism,level_2,27
Gpx1,ROS and glutathione metabolism,level_2,27
Gpx4,ROS and glutathione metabolism,level_2,27
Gsr,ROS and glutathione metabolism,level_2,27
Hagh,ROS and glutathione metabolism,level_2,27
Mgst1,ROS and glutathione metabolism,level_2,27
Msra,ROS and glutathione metabolism,level_2,27
Msrb2,ROS and glutathione metabolism,level_2,27
Msrb3,ROS and glutathione metabolism,level_2,27
Nit1,ROS and glutathione metabolism,level_2,27
Oxr1,ROS and glutathione metabolism,level_2,27
Prdx2,ROS and glutathione metabolism,level_2,27
Prdx3,ROS and glutathione metabolism,level_2,27
Prdx4,ROS and glutathione metabolism,level_2,27
Prdx5,ROS and glutathione metabolism,level_2,27
Prdx6,ROS and glutathione metabolism,level_2,27
Prxl2a,ROS and glutathione metabolism,level_2,27
Sod1,ROS and glutathione metabolism,level_2,27
Sod2,ROS and glutathione metabolism,level_2,27
Txn2,ROS and glutathione metabolism,level_2,27
Txnrd1,ROS and glutathione metabolism,level_2,27
Txnrd2,ROS and glutathione metabolism,level_2,27
