gene_symbol,pathway,level,n_genes
Abhd11,TCA-associated,level_2,15
Acly,TCA-associated,level_2,15
D2hgdh,TCA-associated,level_2,15
Fahd1,TCA-associated,level_2,15
Gm4984,TCA-associated,level_2,15
L2hgdh,TCA-associated,level_2,15
Me2,TCA-associated,level_2,15
Me3,TCA-associated,level_2,15
Mpc1,TCA-associated,level_2,15
Mpc2,TCA-associated,level_2,15
Pck2,TCA-associated,level_2,15
Pcx,TCA-associated,level_2,15
Sfxn5,TCA-associated,level_2,15
Slc25a1,TCA-associated,level_2,15
Slc25a11,TCA-associated,level_2,15
