gene_symbol,pathway,level,n_genes
2810006K23Rik,Translation factors,level_2,16
Coa3,Translation factors,level_2,16
Cox14,Translation factors,level_2,16
Gfm1,Translation factors,level_2,16
Gfm2,Translation factors,level_2,16
Hemk1,Translation factors,level_2,16
Mrpl58,Translation factors,level_2,16
Mrrf,Translation factors,level_2,16
Mtif2,Translation factors,level_2,16
Mtif3,Translation factors,level_2,16
Mtrf1,Translation factors,level_2,16
Mtrf1l,Translation factors,level_2,16
Taco1,Translation factors,level_2,16
Timm21,Translation factors,level_2,16
Tsfm,Translation factors,level_2,16
Tufm,Translation factors,level_2,16
