gene_symbol,pathway,level,n_genes
Abhd10,Xenobiotic metabolism,level_2,23
Acsm2,Xenobiotic metabolism,level_2,23
Acsm5,Xenobiotic metabolism,level_2,23
Akr1b10,Xenobiotic metabolism,level_2,23
Akr7a5,Xenobiotic metabolism,level_2,23
Aldh1b1,Xenobiotic metabolism,level_2,23
Aldh2,Xenobiotic metabolism,level_2,23
Bphl,Xenobiotic metabolism,level_2,23
Cbr3,Xenobiotic metabolism,level_2,23
Cyb5b,Xenobiotic metabolism,level_2,23
Cyb5r3,Xenobiotic metabolism,level_2,23
Dhrs2,Xenobiotic metabolism,level_2,23
Ephx2,Xenobiotic metabolism,level_2,23
Glyat,Xenobiotic metabolism,level_2,23
Gstk1,Xenobiotic metabolism,level_2,23
Gstz1,Xenobiotic metabolism,level_2,23
Maoa,Xenobiotic metabolism,level_2,23
Maob,Xenobiotic metabolism,level_2,23
Mgst1,Xenobiotic metabolism,level_2,23
Mpst,Xenobiotic metabolism,level_2,23
Mtarc1,Xenobiotic metabolism,level_2,23
Mtarc2,Xenobiotic metabolism,level_2,23
Tst,Xenobiotic metabolism,level_2,23
