gene_symbol,pathway,level,n_genes
Mettl15,mt-rRNA modifications,level_2,17
Mettl17,mt-rRNA modifications,level_2,17
Mettl5,mt-rRNA modifications,level_2,17
Mrm1,mt-rRNA modifications,level_2,17
Mrm2,mt-rRNA modifications,level_2,17
Mrm3,mt-rRNA modifications,level_2,17
Mtpap,mt-rRNA modifications,level_2,17
Myg1,mt-rRNA modifications,level_2,17
Ngrn,mt-rRNA modifications,level_2,17
Nsun4,mt-rRNA modifications,level_2,17
Rcc1l,mt-rRNA modifications,level_2,17
Rpusd3,mt-rRNA modifications,level_2,17
Rpusd4,mt-rRNA modifications,level_2,17
Tfb1m,mt-rRNA modifications,level_2,17
Trit1,mt-rRNA modifications,level_2,17
Trmt2b,mt-rRNA modifications,level_2,17
Trub2,mt-rRNA modifications,level_2,17
