gene_symbol,pathway,level,n_genes
Alkbh1,mt-tRNA modifications,level_2,21
Cdk5rap1,mt-tRNA modifications,level_2,21
Dus2,mt-tRNA modifications,level_2,21
Gtpbp3,mt-tRNA modifications,level_2,21
Hsd17b10,mt-tRNA modifications,level_2,21
Mto1,mt-tRNA modifications,level_2,21
Nsun2,mt-tRNA modifications,level_2,21
Nsun3,mt-tRNA modifications,level_2,21
Osgepl1,mt-tRNA modifications,level_2,21
Pus1,mt-tRNA modifications,level_2,21
Qtrt1,mt-tRNA modifications,level_2,21
Rpusd4,mt-tRNA modifications,level_2,21
Thg1l,mt-tRNA modifications,level_2,21
Trit1,mt-tRNA modifications,level_2,21
Trmt1,mt-tRNA modifications,level_2,21
Trmt10c,mt-tRNA modifications,level_2,21
Trmt2b,mt-tRNA modifications,level_2,21
Trmt5,mt-tRNA modifications,level_2,21
Trmu,mt-tRNA modifications,level_2,21
Trnt1,mt-tRNA modifications,level_2,21
Yrdc,mt-tRNA modifications,level_2,21
