gene_symbol,pathway,level,n_genes
Aars2,mt-tRNA synthetases,level_2,22
Cars2,mt-tRNA synthetases,level_2,22
Dars2,mt-tRNA synthetases,level_2,22
Ears2,mt-tRNA synthetases,level_2,22
Fars2,mt-tRNA synthetases,level_2,22
Gars,mt-tRNA synthetases,level_2,22
Gatb,mt-tRNA synthetases,level_2,22
Gatc,mt-tRNA synthetases,level_2,22
Hars2,mt-tRNA synthetases,level_2,22
Iars2,mt-tRNA synthetases,level_2,22
Kars,mt-tRNA synthetases,level_2,22
Lars2,mt-tRNA synthetases,level_2,22
Mars2,mt-tRNA synthetases,level_2,22
Nars2,mt-tRNA synthetases,level_2,22
Pars2,mt-tRNA synthetases,level_2,22
Qrsl1,mt-tRNA synthetases,level_2,22
Rars2,mt-tRNA synthetases,level_2,22
Sars2,mt-tRNA synthetases,level_2,22
Tars2,mt-tRNA synthetases,level_2,22
Vars2,mt-tRNA synthetases,level_2,22
Wars2,mt-tRNA synthetases,level_2,22
Yars2,mt-tRNA synthetases,level_2,22
