gene_symbol,pathway,level,n_genes
Alkbh1,mtRNA granules,level_2,28
Ddx28,mtRNA granules,level_2,28
Dhx30,mtRNA granules,level_2,28
Eral1,mtRNA granules,level_2,28
Fastk,mtRNA granules,level_2,28
Fastkd1,mtRNA granules,level_2,28
Fastkd2,mtRNA granules,level_2,28
Fastkd5,mtRNA granules,level_2,28
Grsf1,mtRNA granules,level_2,28
Hsd17b10,mtRNA granules,level_2,28
Mrm1,mtRNA granules,level_2,28
Mrm2,mtRNA granules,level_2,28
Mrpl47,mtRNA granules,level_2,28
Mrps7,mtRNA granules,level_2,28
Mrps9,mtRNA granules,level_2,28
Mtpap,mtRNA granules,level_2,28
Noa1,mtRNA granules,level_2,28
Prorp,mtRNA granules,level_2,28
Ptcd1,mtRNA granules,level_2,28
Ptcd2,mtRNA granules,level_2,28
Pus1,mtRNA granules,level_2,28
Rmnd1,mtRNA granules,level_2,28
Rpusd3,mtRNA granules,level_2,28
Rpusd4,mtRNA granules,level_2,28
Supv3l1,mtRNA granules,level_2,28
Tfb1m,mtRNA granules,level_2,28
Trmt10c,mtRNA granules,level_2,28
Trub2,mtRNA granules,level_2,28
