gene_symbol,pathway,level,n_genes
Endog,mtRNA stability and decay,level_2,17
Fastk,mtRNA stability and decay,level_2,17
Fastkd1,mtRNA stability and decay,level_2,17
Fastkd2,mtRNA stability and decay,level_2,17
Fastkd3,mtRNA stability and decay,level_2,17
Fastkd5,mtRNA stability and decay,level_2,17
Grsf1,mtRNA stability and decay,level_2,17
Lactb2,mtRNA stability and decay,level_2,17
Lrpprc,mtRNA stability and decay,level_2,17
Mtpap,mtRNA stability and decay,level_2,17
Pde12,mtRNA stability and decay,level_2,17
Pnpt1,mtRNA stability and decay,level_2,17
Rexo2,mtRNA stability and decay,level_2,17
Rnaseh1,mtRNA stability and decay,level_2,17
Slirp,mtRNA stability and decay,level_2,17
Supv3l1,mtRNA stability and decay,level_2,17
Tbrg4,mtRNA stability and decay,level_2,17
