level,pathway,Total_Genes,DEGs,Upregulated,Downregulated,Pct_Up,Pct_Down,Enrichment_P,Enrichment_FDR,Enrichment_OR,Enrichment_Sig,Directional_P,Directional_FDR,Directional_OR,Directional_Sig
level_0,Metabolism,464,94,20,74,21.27659574468085,78.72340425531915,0.9976358036027471,0.9989081929244448,0.7282000750750751,ns,9.598277217927112e-12,3.3593970262744895e-11,0.2072624772011275,***
level_0,Mitochondrial central dogma,230,55,7,48,12.727272727272727,87.27272727272727,0.7503702773165938,0.9989081929244448,0.9098027700288749,ns,4.026949594736634e-11,9.396215721052147e-11,0.11325826739703794,***
level_0,Mitochondrial dynamics and surveillance,102,14,6,8,42.857142857142854,57.14285714285714,0.9989081929244448,0.9989081929244448,0.4588375307125307,ns,0.42217657193484714,0.42217657193484714,0.6003649635036497,ns
level_0,OXPHOS,168,49,0,49,0.0,100.0,0.16685246780531932,0.9989081929244448,1.1974258421317245,ns,3.638569597951193e-18,2.5469987185658355e-17,0.0,***
level_0,Protein import sorting and homeostasis,88,18,4,14,22.22222222222222,77.77777777777779,0.895000501252213,0.9989081929244448,0.744200657258844,ns,0.007013373081025158,0.012273402891794027,0.227391077937858,*
level_0,Signaling,47,6,1,5,16.666666666666664,83.33333333333334,0.9904126524461541,0.9989081929244448,0.4232463348892249,ns,0.09485131678728434,0.11065986958516506,0.15997574287446936,ns
level_0,Small molecule transport,85,19,5,14,26.31578947368421,73.68421052631578,0.7923532190235705,0.9989081929244448,0.8338255652976465,ns,0.01803194391003203,0.025244721474044843,0.28441163699522365,*
level_1,ABC transporters,8,2,0,2,0.0,100.0,0.6487475963473373,0.9998244315903484,0.9666890982503364,ns,0.19811253534670134,0.2928620087733846,0.0,ns
level_1,Amino acid metabolism,90,10,3,7,30.0,70.0,0.9998244315903484,0.9998244315903484,0.3603660593792173,ns,0.12090049851078102,0.22836760829814193,0.34270101483216237,ns
level_1,Apoptosis,34,6,4,2,66.66666666666666,33.33333333333333,0.9016833232664271,0.9998244315903484,0.6206921447824413,ns,0.6983404282771841,0.7914524853808087,1.606318347509113,ns
level_1,Autophagy,18,2,1,1,50.0,50.0,0.9652795507775676,0.9998244315903484,0.3620878196500673,ns,1.0,1.0,0.8023044269254094,ns
level_1,Calcium homeostasis,23,3,0,3,0.0,100.0,0.9572940421079387,0.9998244315903484,0.43444968024234265,ns,0.0881240820081895,0.18726367426740267,0.0,ns
level_1,Calcium uniporter,6,1,0,1,0.0,100.0,0.8310191067816908,0.9998244315903484,0.5798856374032964,ns,0.44519166106254204,0.5219488440043597,0.0,ns
level_1,Carbohydrate metabolism,73,16,2,14,12.5,87.5,0.8049991113368145,0.9998244315903484,0.8130671506352087,ns,0.0005569139404556292,0.0027050105679273418,0.11355755894590847,**
level_1,Complex III,16,4,0,4,0.0,100.0,0.6179029475008676,0.9998244315903484,0.9666666666666667,ns,0.03918273723756928,0.10115460960572083,0.0,ns
level_1,Complex II,8,3,0,3,0.0,100.0,0.33744890295579133,0.9998244315903484,1.740828004039044,ns,0.0881240820081895,0.18726367426740267,0.0,ns
level_1,Complex IV,50,12,0,12,0.0,100.0,0.657632428084082,0.9998244315903484,0.9154909556132059,ns,5.895255500132861e-05,0.0003340644783408621,0.0,***
level_1,Complex I,64,23,0,23,0.0,100.0,0.04363179188859638,0.7417404621061384,1.631790794356605,ns,7.415804541681065e-09,6.303433860428906e-08,0.0,***
level_1,Complex V,26,6,0,6,0.0,100.0,0.6898930097696188,0.9998244315903484,0.869777628032345,ns,0.007736541359433237,0.026304240622073004,0.0,*
level_1,Cytochrome C,3,2,0,2,0.0,100.0,0.16348850327751113,0.9998244315903484,5.8034993270524895,ns,0.19811253534670134,0.2928620087733846,0.0,ns
level_1,Detoxification,51,7,2,5,28.57142857142857,71.42857142857143,0.98745298809182,0.9998244315903484,0.46011428746514693,ns,0.25325182842934557,0.35877342360823955,0.3201456310679612,ns
level_1,Electron carriers,16,5,1,4,20.0,80.0,0.3929407710852875,0.9998244315903484,1.318778897088092,ns,0.17868085103128054,0.2928620087733846,0.20012128562765313,ns
level_1,Fission,15,4,1,3,25.0,75.0,0.5616624033969729,0.9998244315903484,1.0546678910315275,ns,0.3295430933549014,0.44817860696266587,0.26703052354962603,ns
level_1,Fusion,9,1,0,1,0.0,100.0,0.9305644386849368,0.9998244315903484,0.3623023881601076,ns,0.44519166106254204,0.5219488440043597,0.0,ns
level_1,Intramitochondrial membrane interactions,8,1,0,1,0.0,100.0,0.9066000242308346,0.9998244315903484,0.4141079236942002,ns,0.44519166106254204,0.5219488440043597,0.0,ns
level_1,Lipid metabolism,126,18,8,10,44.44444444444444,55.55555555555556,0.9993536745650691,0.9998244315903484,0.48020974289580515,ns,0.3536625252569581,0.4624817637975607,0.6401948842874543,ns
level_1,Metals and cofactors,120,27,3,24,11.11111111111111,88.88888888888889,0.814277385738677,0.9998244315903484,0.8405267248267785,ns,1.9524157985820676e-06,1.327642743035806e-05,0.0986642380085003,***
level_1,Mitophagy,14,2,1,1,50.0,50.0,0.9080443113162003,0.9998244315903484,0.48300807537012114,ns,1.0,1.0,0.8023044269254094,ns
