Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,GeneSymbol,GeneSymbol_upper,theme_proteolysis,theme_myogenesis,theme_mitochondrial
ENSMUSG00000005625,ENSMUSG00000005625,Psmd4,6003.60928,0.680563422,0.17709534,3.842921112,0.000121579,0.00058582,"3,915143016",up,Psmd4,PSMD4,True,False,False
ENSMUSG00000015837,ENSMUSG00000015837,Sqstm1,29359.87989,0.90415531,0.199811312,4.525045661,6.04e-06,4.46e-05,"5,219089143",up,Sqstm1,SQSTM1,True,False,False
ENSMUSG00000017221,ENSMUSG00000017221,Psmd3,5721.456524,0.515686628,0.141012064,3.657039063,0.000255146,0.001104583,"3,593212071",up,Psmd3,PSMD3,True,False,False
ENSMUSG00000017428,ENSMUSG00000017428,Psmd11,5512.795503,0.896703098,0.179473205,4.996306263,5.84e-07,5.73e-06,"6,233298512",up,Psmd11,PSMD11,True,False,False
ENSMUSG00000022051,ENSMUSG00000022051,Bnip3l,2522.239344,0.702889258,0.138949171,5.058607072,4.22e-07,4.3e-06,"6,374347977",up,Bnip3l,BNIP3L,True,False,True
ENSMUSG00000022358,ENSMUSG00000022358,Fbxo32,49864.73978,2.921777639,0.255856123,11.41961196,3.34e-30,1.4900000000000002e-27,"29,47661694",up,Fbxo32,FBXO32,True,False,False
ENSMUSG00000022637,ENSMUSG00000022637,Cblb,1532.518586,1.960959858,0.231940242,8.454590897,2.8e-17,2.26e-15,"16,55273721",up,Cblb,CBLB,True,False,False
ENSMUSG00000025040,ENSMUSG00000025040,Fundc1,668.7691455,-0.600434688,0.167455388,-3.585639693,0.000336253,0.001399394,"3,473333897",down,Fundc1,FUNDC1,True,False,True
ENSMUSG00000026484,ENSMUSG00000026484,Rnf2,737.2760543,0.608963133,0.115866406,5.255735084,1.47e-07,1.7e-06,"6,831401202",up,Rnf2,RNF2,True,False,False
ENSMUSG00000027566,ENSMUSG00000027566,Psma7,2806.913968,0.516545283,0.171488926,3.012120349,0.002594297,0.00795365,"2,585980271",up,Psma7,PSMA7,True,False,False
ENSMUSG00000028834,ENSMUSG00000028834,Trim63,44995.10441,3.738274796,0.26128904,14.30704784,1.98e-46,4.59e-43,"45,70392646",up,Trim63,TRIM63,True,False,False
ENSMUSG00000028932,ENSMUSG00000028932,Psmc2,4442.052617,0.523560522,0.152191949,3.440132844,0.000581429,0.002239592,"3,235503517",up,Psmc2,PSMC2,True,False,False
ENSMUSG00000029110,ENSMUSG00000029110,Rnf4,933.9529131,0.765163053,0.118210208,6.472901649,9.61e-11,2.38e-09,"10,0171025",up,Rnf4,RNF4,True,False,False
ENSMUSG00000029512,ENSMUSG00000029512,Ulk1,7775.604838,1.506175519,0.228036487,6.604975984,3.98e-11,1.05e-09,"10,40057351",up,Ulk1,ULK1,True,False,False
ENSMUSG00000030161,ENSMUSG00000030161,Gabarapl1,3166.694241,1.827993396,0.302872832,6.035514593,1.58e-09,2.96e-08,"8,800088822",up,Gabarapl1,GABARAPL1,True,False,False
ENSMUSG00000031812,ENSMUSG00000031812,Map1lc3b,8239.116293,0.778248679,0.168515472,4.618262469,3.87e-06,3.04e-05,"5,412326519",up,Map1lc3b,MAP1LC3B,True,False,False
ENSMUSG00000031897,ENSMUSG00000031897,Psmb10,177.4482477,-0.699115675,0.140788552,-4.965713932,6.84e-07,6.63e-06,"6,164634221",down,Psmb10,PSMB10,True,False,False
ENSMUSG00000047648,ENSMUSG00000047648,Fbxo30,795.6966655,1.276038097,0.292745538,4.358864378,1.31e-05,8.61e-05,"4,883594512",up,Fbxo30,FBXO30,True,False,False
ENSMUSG00000051675,ENSMUSG00000051675,Trim32,357.4094236,-0.602899267,0.136330555,-4.42233414,9.76e-06,6.74e-05,"5,010370903",down,Trim32,TRIM32,True,False,False
ENSMUSG00000052934,ENSMUSG00000052934,Fbxo31,9609.585956,0.538197465,0.126126753,4.267115815,1.98e-05,0.000123473,"4,703298898",up,Fbxo31,FBXO31,True,False,False
ENSMUSG00000078566,ENSMUSG00000078566,Bnip3,10666.02927,1.029737182,0.225247442,4.571582139,4.84e-06,3.68e-05,"5,315104864",up,Bnip3,BNIP3,True,False,True
