Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,EnsemblID,GeneSymbol,GeneSymbol_upper,MouseGeneID,HumanOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability),MouseGeneID_clean,is_mitochondrial,pathway_categories
ENSMUSG00000000088,ENSMUSG00000000088,Cox5a,6821.946072,-0.559374064,0.178841424,-3.127765654,0.001761406,0.0057352,"2,754140624",down,ENSMUSG00000000088,Cox5a,COX5A,12858.0,9377.0,Cox5a,AA959768|CcO|CcOX,cytochrome c oxidase subunit 5A,MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,Tmito,42.0443,0.0,1.0,"literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000000088,P12787,146.0,1.0,MitoDomain,49.0,1.91,OrthologMitoHighConf,NoHomolog,50-75pure,chr9,57521231.0,57532426.0,14.0,19.0,1523.0,427000000000.0,65.0,all 14,10.4,10.2,10.6,10.3,11.0,10.5,10.4,9.8,10.3,10.6,10.6,10.5,10.3,10.2,,12858,True,"['Complex IV', 'Complex I']"
ENSMUSG00000000168,ENSMUSG00000000168,Dlat,5702.337966,-0.637498997,0.178259657,-3.576238215,0.000348574,0.001442298,"3,45770496",down,ENSMUSG00000000168,Dlat,DLAT,235339.0,1737.0,Dlat,6332404G05Rik|DLTA|PDC-E|PDC-E2,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,38.6712,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000000168,Q8BMF4,642.0,3.0,MitoDomain,41.0,2.68,OrthologMitoLowConf,Homolog,50-75pure,chr9,50634632.0,50659780.0,14.0,36.0,2960.0,370000000000.0,60.0,all 14,10.6,10.3,10.7,10.5,10.4,9.8,10.4,10.5,10.5,9.9,10.1,10.1,10.1,10.5,Mitochondria (Enhanced),235339,True,[]
ENSMUSG00000001909,ENSMUSG00000001909,Trmt1,1810.821369,0.727059226,0.149706187,4.856574342,1.19e-06,1.09e-05,"5,922872192",up,ENSMUSG00000001909,Trmt1,TRMT1,212528.0,55621.0,Trmt1,6720406L13Rik|6720477L24|D8Ertd812|D8Ertd812e,tRNA methyltransferase 1,MitoCarta3.0,"targetP signal+, yeast mito homolog, mito protein domain, coexpression",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,Tnon_mito,6.4278,0.044,1.0,"targetP signal+, yeast mito homolog, mito protein domain, coexpression",ENSMUSG00000001909,Q3TX08,663.0,1.0,SharedDomain,6.0,,HomologMitoLowConf,NoHomolog,,chr8,84689246.0,84699808.0,,,,,,,,,,,,,,,,,,,,,Cytosol;Plasma membrane (Approved),212528,True,[]
ENSMUSG00000001983,ENSMUSG00000001983,Taco1,973.8716795,-0.94803771,0.229324493,-4.13404472,3.56e-05,0.000203041,"4,448020788",down,ENSMUSG00000001983,Taco1,TACO1,70207.0,51204.0,Taco1,2310066I18Rik|Ccdc44,translational activator of mitochondrially encoded cytochrome c oxidase I,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Translation factors | OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,26.2483,0.003,1.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, MS/MS++",ENSMUSG00000001983,Q8K0Z7,294.0,1.0,MitoDomain,,,HomologMitoHighConf,Ortholog,50-75pure,chr11,106066106.0,106073612.0,14.0,23.0,252.0,8090000000.0,68.0,all 14,9.0,8.9,9.1,8.8,8.4,9.0,8.7,8.4,8.2,8.3,8.8,8.5,8.7,8.3,Mitochondria (Enhanced),70207,True,"['Complex IV', 'Complex I', 'Translation factors']"
ENSMUSG00000002379,ENSMUSG00000002379,Ndufa11,1976.569245,-0.55698185,0.186833386,-2.981168741,0.002871505,0.008653282,"2,541890391",down,ENSMUSG00000002379,Ndufa11,NDUFA11,69875.0,126328.0,Ndufa11,2010012C24Rik|AV006275|B14.7,NADH:ubiquinone oxidoreductase subunit A11,MitoCarta3.0,"literature, APEX_IMS, mito protein domain+, induction, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,15.7005,0.006,1.0,"literature, APEX_IMS, mito protein domain+, induction, MS/MS++",ENSMUSG00000002379,G5E814,143.0,,MitoDomain,2.0,1.8,NoMitoHomolog,NoHomolog,75-100pure,chr17,56717761.0,56724248.0,14.0,10.0,516.0,22600000000.0,94.0,all 14,9.3,9.2,9.5,9.1,9.3,9.1,8.9,9.2,9.1,9.3,9.0,9.0,9.3,9.1,Mitochondria (Uncertain),69875,True,['Complex I']
ENSMUSG00000002416,ENSMUSG00000002416,Ndufb2,1569.161393,-0.594598177,0.198431456,-2.996491528,0.002731058,0.008300203,"2,563669034",down,ENSMUSG00000002416,Ndufb2,NDUFB2,68198.0,4708.0,Ndufb2,1810011O01Rik|8kD|8kDa|AGGG|AI325567|CI-AGGG,NADH:ubiquinone oxidoreductase subunit B2,MitoCarta3.0,"literature, targetP signal, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,Tmito,22.475,0.005,1.0,"literature, targetP signal, induction, coexpression++, MS/MS++",ENSMUSG00000002416,Q9CPU2,105.0,2.0,,50.0,0.73,NoMitoHomolog,NoHomolog,50-75pure,chr6,39592582.0,39599471.0,14.0,4.0,99.0,11800000000.0,50.0,all 14,9.2,8.8,9.2,8.6,9.3,8.8,8.9,8.4,8.7,8.7,9.1,8.9,8.6,8.6,Mitochondria;Nucleoplasm (Approved),68198,True,['Complex I']
ENSMUSG00000002661,ENSMUSG00000002661,Alkbh7,183.5335032,-1.235589526,0.234248697,-5.274691143,1.33e-07,1.55e-06,"6,876214151",down,ENSMUSG00000002661,Alkbh7,ALKBH7,66400.0,84266.0,Alkbh7,2310045B01Rik|2510008E23Rik|Abh|Abh7|Spa|Spata11,alkB homolog 7,MitoCarta3.0,"APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS",Matrix,0,Tmito,22.7508,0.005,1.0,"APEX_matrix, targetP signal+, mito protein domain, induction, coexpression++, MS/MS",ENSMUSG00000002661,Q9D6Z0,221.0,1.0,SharedDomain,42.0,1.86,NoMitoHomolog,NoHomolog,25-50ambig,chr17,56997338.0,56999336.0,4.0,5.0,13.0,96800000.0,40.0,"cerebellum, brainstem, largeintestine, testis",,7.3,7.0,,,,,,,,7.4,,,7.6,Mitochondria (Supported),66400,True,[]
ENSMUSG00000002781,ENSMUSG00000002781,Tmem143,1710.719243,-0.516315314,0.16965218,-3.04337566,0.002339401,0.007285814,"2,630895337",down,ENSMUSG00000002781,Tmem143,TMEM143,70209.0,55260.0,Tmem143,2310076O21Rik|AI481604,transmembrane protein 143,MitoCarta3.0,"targetP signal, coexpression+, MS/MS",MIM,0,Tpossible_mito,8.0691,0.031,1.0,"targetP signal, coexpression+, MS/MS",ENSMUSG00000002781,Q8VD26,458.0,3.0,,33.0,,NoMitoHomolog,NoHomolog,25-50ambig,chr7,45897068.0,45917413.0,12.0,18.0,83.0,1030000000.0,41.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, skeletalmuscle, adipose, largeintestine, stomach, placenta",7.3,7.4,7.2,7.8,7.7,7.3,8.3,8.1,8.4,,7.9,7.7,8.0,,Nucleoli fibrillar center (Approved),70209,True,[]
ENSMUSG00000002825,ENSMUSG00000002825,Qtrt1,148.9533099,0.781988479,0.195334951,4.003320834,6.25e-05,0.000329126,"4,204401449",up,ENSMUSG00000002825,Qtrt1,QTRT1,60507.0,81890.0,Qtrt1,2610028E17Rik|Tgt,queuine tRNA-ribosyltransferase catalytic subunit 1,MitoCarta3.0,"APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, coexpression",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,Tmito,2.6242,0.147,1.0,"APEX_matrix, targetP signal, Rickettsial homolog, mito protein domain, coexpression",ENSMUSG00000002825,Q9JMA2,403.0,4.0,SharedDomain,6.0,,NoMitoHomolog,Homolog,,chr9,21411836.0,21420279.0,,,,,,,,,,,,,,,,,,,,,Mitochondria (Approved),60507,True,[]
ENSMUSG00000003526,ENSMUSG00000003526,Prodh,604.6128926,0.916149798,0.211574552,4.330151181,1.49e-05,9.69e-05,"4,826793308",up,ENSMUSG00000003526,Prodh,PRODH,19125.0,5625.0,Prodh,P|Pr|Pro-1|Pro1|Ym24d07,proline dehydrogenase,MitoCarta3.0,"literature, targetP signal, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",MIM,"Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Electron carriers > Q-linked reactions, other",Tmito,24.1988,0.003,1.0,"literature, targetP signal, yeast mito homolog+, mito protein domain+, coexpression, MS/MS++",ENSMUSG00000003526,Q9WU79,599.0,3.0,MitoDomain,11.0,,OrthologMitoLowConf,NoHomolog,50-75pure,chr16,18071725.0,18089190.0,13.0,46.0,510.0,22100000000.0,70.0,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",8.7,8.5,8.8,8.7,9.8,9.9,,7.4,9.5,8.7,8.7,8.3,8.7,8.1,,19125,True,['Transporters']
